Name;Total_Trav;Total_Leng;Shape_Leng;Origin;Dest;Time
1001 - 5905;129.7548089514687;10380.384716117504;7647.58220412255;1001;5905;0:00:00
1001 - 5910;129.84295028863303;10387.43602309065;8011.409361726988;1001;5910;0:00:00
1001 - 5931;130.33807258086588;10427.04580646928;7956.548078647535;1001;5931;0:00:00
1001 - 5985;130.36086647518033;10428.869318014426;7920.6208761426815;1001;5985;0:00:00
1001 - 1211;130.73368657081843;10458.694925665472;8287.863905679384;1001;1211;0:00:00
1001 - 5603;131.08904504698427;10487.123603758744;7538.479469971265;1001;5603;0:00:00
1001 - 1203;131.21539909976207;10497.231927980964;8673.774787150296;1001;1203;0:00:00
1001 - 5211;131.27342143801178;10501.873715040936;9126.437856237697;1001;5211;0:00:00
1001 - 5966;131.3308061170968;10506.464489367747;7900.010534774049;1001;5966;0:00:00
1001 - 1204;131.38967800721136;10511.174240576911;9022.926919489013;1001;1204;0:00:00
1001 - 2004;131.55857281343978;10524.685825075172;8329.725957185465;1001;2004;0:00:00
1001 - 2109;131.8517579775127;10548.140638201014;8512.800566439606;1001;2109;0:00:00
1001 - 1903;131.8768381486823;10550.147051894586;7156.5903477877255;1001;1903;0:00:00
1001 - 1207;132.35481952108935;10588.385561687148;9382.27742704033;1001;1207;0:00:00
1001 - 1947;133.05621796868334;10644.497437494665;8624.63934371482;1001;1947;0:00:00
1001 - 5626;133.08044372856116;10646.435498284887;9011.057410718813;1001;5626;0:00:00
1001 - 5909;133.67744179281823;10694.195343425465;8160.775693492172;1001;5909;0:00:00
1001 - 5607;134.13840687904906;10731.072550323925;8242.16568840013;1001;5607;0:00:00
1001 - 2107;135.04277573176392;10803.422058541115;8401.248447309054;1001;2107;0:00:00
1001 - 1104;136.08638944732306;10886.911155785836;8056.4134049159375;1001;1104;0:00:00
1001 - 1206;136.98493576142042;10958.794860913637;9777.510609360157;1001;1206;0:00:00
1001 - 5908;137.1815461719734;10974.523693757874;8339.015701847675;1001;5908;0:00:00
1001 - 5959;137.49263786404586;10999.41102912367;8275.23278956272;1001;5959;0:00:00
1001 - 2115;137.80782114332126;11024.625691465702;8520.749190961256;1001;2115;0:00:00
1001 - 5981;137.84398004681324;11027.518403745062;8511.214767745118;1001;5981;0:00:00
1001 - 5621;137.95063606839457;11036.050885471572;7924.148695561447;1001;5621;0:00:00
1001 - 2111;138.0274759224696;11042.198073797568;8503.204583190822;1001;2111;0:00:00
1001 - 5960;138.7661895777053;11101.29516621643;8233.459519762137;1001;5960;0:00:00
1001 - 5625;138.84195998258687;11107.356798606943;9046.172771256151;1001;5625;0:00:00
1001 - 2026;138.84226098399532;11107.380878719629;8967.413382679046;1001;2026;0:00:00
1001 - 1951;139.12944436851313;11130.35554948105;8496.242883481484;1001;1951;0:00:00
1001 - 2027;139.34707247679682;11147.765798143753;8988.555129875129;1001;2027;0:00:00
1001 - 5202;141.04434385637046;11283.547508509633;10059.732030093684;1001;5202;0:00:00
1001 - 5929;141.18428697933746;11294.742958347008;9068.412732791796;1001;5929;0:00:00
1001 - 1208;141.1845099197656;11294.76079358124;8814.183263098173;1001;1208;0:00:00
1001 - 5980;141.60275446283214;11328.220357026576;8630.002495276354;1001;5980;0:00:00
1001 - 5602;141.7068240587409;11336.545924699274;8816.528404327159;1001;5602;0:00:00
1001 - 2106;142.0771466540219;11366.171732321747;9005.317768423702;1001;2106;0:00:00
1001 - 1942;142.5700912716119;11405.607301728947;9100.440245833599;1001;1942;0:00:00
1001 - 5961;142.75170896549253;11420.136717239411;8694.368739230255;1001;5961;0:00:00
1001 - 1948;143.0479882766805;11443.83906213444;9356.547669923597;1001;1948;0:00:00
1001 - 5979;143.27124921897263;11461.699937517815;8771.75342272519;1001;5979;0:00:00
1001 - 1314;143.70078463619237;11496.062770895383;10536.672619806657;1001;1314;0:00:00
1001 - 5982;143.774656706577;11501.972536526167;9083.455967348256;1001;5982;0:00:00
1001 - 1905;144.30640873364325;11544.512698691458;9029.840425317072;1001;1905;0:00:00
1001 - 5907;144.8341985258615;11586.735882068926;8699.956988173908;1001;5907;0:00:00
1001 - 2114;145.26672761020686;11621.338208816544;9557.094569406672;1001;2114;0:00:00
1001 - 2001;145.5618245794987;11644.945966359895;9134.827014954277;1001;2001;0:00:00
1001 - 4703;145.69370385687606;11655.496308550082;7387.757282245818;1001;4703;0:00:00
1001 - 1956;146.84105659537218;11747.284527629776;9304.558087519576;1001;1956;0:00:00
1001 - 2210;147.12560805473743;11770.048644379;10891.011204853246;1001;2210;0:00:00
1001 - 2006;147.73632456837208;11818.905965469763;9577.623685363202;1001;2006;0:00:00
1001 - 5624;147.76328856892619;11821.063085514086;9591.186758981545;1001;5624;0:00:00
1001 - 5622;147.94626427217258;11835.70114177381;9030.782198603565;1001;5622;0:00:00
1001 - 5983;148.5388757591216;11883.110060729736;9501.590278456959;1001;5983;0:00:00
1001 - 5717;148.5704125413811;11885.633003310488;10156.971007351489;1001;5717;0:00:00
1001 - 5207;148.57523822833167;11886.019058266525;10425.043846475586;1001;5207;0:00:00
1001 - 2112;148.58055260639688;11886.444208511743;9332.25875988535;1001;2112;0:00:00
1001 - 4410;148.8706476052329;11909.651808418634;10756.08494376083;1001;4410;0:00:00
1001 - 5927;149.01498941580473;11921.199153264384;10229.915828646126;1001;5927;0:00:00
1001 - 5928;149.01498941580473;11921.199153264384;9950.26451740725;1001;5928;0:00:00
1001 - 1925;149.09802034782308;11927.841627825845;9608.574264970746;1001;1925;0:00:00
1001 - 2102;149.3135300948814;11945.082407590502;9770.855268504063;1001;2102;0:00:00
1001 - 5962;149.37530340780128;11950.024272624109;9103.497982678768;1001;5962;0:00:00
1001 - 1952;149.82956655703978;11986.365324563183;8902.66562185587;1001;1952;0:00:00
1001 - 1950;150.22356391170342;12017.885112936272;8612.149164409087;1001;1950;0:00:00
1001 - 1205;150.36807344412497;12029.445875530006;10147.170404137229;1001;1205;0:00:00
1001 - 5601;150.61200899828876;12048.960719863106;8891.780637093687;1001;5601;0:00:00
1001 - 1209;150.6259655115496;12050.077240923958;9288.596183663854;1001;1209;0:00:00
1001 - 2021;150.83682479558632;12066.945983646905;10034.162390714542;1001;2021;0:00:00
1001 - 2110;150.96013285647302;12076.81062851785;8976.728036986591;1001;2110;0:00:00
1001 - 5921;151.20841934489437;12096.67354759156;9118.535388849561;1001;5921;0:00:00
1001 - 1953;151.28565161858248;12102.852129486595;9175.601441486335;1001;1953;0:00:00
1001 - 1954;151.68419620312218;12134.735696249772;9501.665141890928;1001;1954;0:00:00
1001 - 5917;152.255161093367;12180.412887469367;9755.279677308361;1001;5917;0:00:00
1001 - 5203;152.31789209020084;12185.431367216062;10854.160984139931;1001;5203;0:00:00
1001 - 5925;152.41980252325888;12193.58420186072;8408.456931051982;1001;5925;0:00:00
1001 - 2003;152.54735062604192;12203.788050083356;9788.561982548788;1001;2003;0:00:00
1001 - 4413;152.77658405396244;12222.126724316995;11358.655786617137;1001;4413;0:00:00
1001 - 5984;153.17318261747718;12253.85460939818;9541.399583272025;1001;5984;0:00:00
1001 - 5210;153.31154925671163;12264.923940536932;10066.09321018606;1001;5210;0:00:00
1001 - 5114;153.48326089636643;12278.660871709313;9693.7138108694;1001;5114;0:00:00
1001 - 1939;154.11628709936443;12329.302967949152;8652.98956497445;1001;1939;0:00:00
1001 - 4412;154.49990275869703;12359.99222069576;11164.097472988418;1001;4412;0:00:00
1001 - 5963;154.7058943614345;12376.471548914767;9395.366280072913;1001;5963;0:00:00
1001 - 1904;155.04791364814002;12403.833091851211;8177.61913821308;1001;1904;0:00:00
1001 - 5988;155.3151471290478;12425.211770323833;9351.596697115197;1001;5988;0:00:00
1001 - 2201;155.4223045095942;12433.784360767544;11107.598451825621;1001;2201;0:00:00
1001 - 1302;155.48619085773078;12438.89526861846;10117.04400353972;1001;1302;0:00:00
1001 - 5986;155.57125668144042;12445.700534515247;8629.321000306518;1001;5986;0:00:00
1001 - 5702;156.41459430253647;12513.167544202919;9723.575367137304;1001;5702;0:00:00
1001 - 5703;156.9192304910663;12553.538439285305;10456.01167095565;1001;5703;0:00:00
1001 - 1313;157.63079579605036;12610.463663684031;10962.739121408256;1001;1313;0:00:00
1001 - 2022;157.79711184132591;12623.768947306071;10463.80195930674;1001;2022;0:00:00
1001 - 5716;158.4804081423831;12678.432651390645;10522.3735910267;1001;5716;0:00:00
1001 - 5623;158.75542677898468;12700.434142318767;9950.941937608675;1001;5623;0:00:00
1001 - 2113;158.8324503723462;12706.596029787686;10469.321455217205;1001;2113;0:00:00
1001 - 2105;158.88953922407046;12711.163137925647;9910.765768424124;1001;2105;0:00:00
1001 - 1946;159.21816329581003;12737.453063664805;9957.948477125716;1001;1946;0:00:00
1001 - 2117;159.2930753527474;12743.4460282198;9834.831367622462;1001;2117;0:00:00
1001 - 1949;159.3181867718741;12745.454941749927;8766.224432623205;1001;1949;0:00:00
1001 - 5920;159.67953994029313;12774.36319522346;10211.651181369496;1001;5920;0:00:00
1001 - 1303;159.73820640791362;12779.056512633086;11871.348091256808;1001;1303;0:00:00
1001 - 2103;159.80049237029854;12784.03938962389;10444.019671179854;1001;2103;0:00:00
1001 - 1940;160.06725602978892;12805.380482383112;8654.940487407534;1001;1940;0:00:00
